Project Name,Issue URL,issue number,Closed PR that mention,title
DeepLabCut/DeepLabCut,https://github.com/DeepLabCut/DeepLabCut/issues/1235,1235,1240,video_processor.py FPS value is unused
DeepLabCut/DeepLabCut,https://github.com/DeepLabCut/DeepLabCut/issues/1673,1673,1763,Error in creating training dataset after refining outliers
DeepLabCut/DeepLabCut,https://github.com/DeepLabCut/DeepLabCut/issues/1624,1624,1690,Undistortion error during triangulation
DeepLabCut/DeepLabCut,https://github.com/DeepLabCut/DeepLabCut/issues/1222,1222,1275,IndexError happen at a project with identity=true & uniquebodyparts in 2.2rc1
DeepLabCut/DeepLabCut,https://github.com/DeepLabCut/DeepLabCut/issues/1832,1832,1835,Can't create video by filtered file.[No filtered data file found in......]
DeepLabCut/DeepLabCut,https://github.com/DeepLabCut/DeepLabCut/issues/1941,1941,1954,v2.2.1.1: 3D scorer name is written incorrectly into the resulting 3D.h5 file
DeepLabCut/DeepLabCut,https://github.com/DeepLabCut/DeepLabCut/issues/1193,1193,1195,KeyError: 'No object named df_with_missing in the file' (filterpredictions)
DeepLabCut/DeepLabCut,https://github.com/DeepLabCut/DeepLabCut/issues/2006,2006,2007,Failing tests on github and local run `./test.sh`
DeepLabCut/DeepLabCut,https://github.com/DeepLabCut/DeepLabCut/issues/1743,1743,1763,TypeError when using Refine Outliers
DeepLabCut/DeepLabCut,https://github.com/DeepLabCut/DeepLabCut/issues/1981,1981,1982,NumPy 1.23 dropped `numpy.asscalar`
DeepLabCut/DeepLabCut,https://github.com/DeepLabCut/DeepLabCut/issues/1775,1775,1788,Error in: find_outliers_in_raw_data
DeepLabCut/DeepLabCut,https://github.com/DeepLabCut/DeepLabCut/issues/1260,1260,1270,Unable to reconstruct tracks from tracklets given. 
DeepLabCut/DeepLabCut,https://github.com/DeepLabCut/DeepLabCut/issues/1124,1124,1126,pip install downloads many versions of opencv (with 3.8 python)
DeepLabCut/DeepLabCut,https://github.com/DeepLabCut/DeepLabCut/issues/1574,1574,1582,Possible typo in outlier_frames. compute_deviations()
DeepLabCut/DeepLabCut,https://github.com/DeepLabCut/DeepLabCut/issues/1996,1996,2025,Analyse videos not working on Go Pro video
DeepLabCut/DeepLabCut,https://github.com/DeepLabCut/DeepLabCut/issues/1646,1646,1653,Restarting a training is not following the lr pattern laid out in multiple-step
DeepLabCut/DeepLabCut,https://github.com/DeepLabCut/DeepLabCut/issues/2046,2046,2051,napari load_settings TypeError: 'NoneType' object is not iterable
DeepLabCut/DeepLabCut,https://github.com/DeepLabCut/DeepLabCut/issues/1693,1693,1711,Empty tracklets
DeepLabCut/DeepLabCut,https://github.com/DeepLabCut/DeepLabCut/issues/1548,1548,1730,Usage as a library
DeepLabCut/DeepLabCut,https://github.com/DeepLabCut/DeepLabCut/issues/1636,1636,1647,merge_datasets and/or create_training_dataset bug with projects/folder structure
DeepLabCut/DeepLabCut,https://github.com/DeepLabCut/DeepLabCut/issues/2036,2036,2040,Cannot use individual video crops for refinement?
DeepLabCut/DeepLabCut,https://github.com/DeepLabCut/DeepLabCut/issues/1821,1821,1822,issue running transformer_reID
DeepLabCut/DeepLabCut,https://github.com/DeepLabCut/DeepLabCut/issues/1552,1552,1561, single point tracking in maDLC
DeepLabCut/DeepLabCut,https://github.com/DeepLabCut/DeepLabCut/issues/1682,1682,1686,Intel OpenVINO backend
DeepLabCut/DeepLabCut,https://github.com/DeepLabCut/DeepLabCut/issues/1378,1378,1381,create_video_with_all_detections does not accept a listed path to a folder containing videos
DeepLabCut/DeepLabCut,https://github.com/DeepLabCut/DeepLabCut/issues/1006,1006,1059,ValueError: array must not contain infs or NaNs
DeepLabCut/DeepLabCut,https://github.com/DeepLabCut/DeepLabCut/issues/1084,1084,1171,evaluation problems with cropped trainingset when individual1 is empty
DeepLabCut/DeepLabCut,https://github.com/DeepLabCut/DeepLabCut/issues/1528,1528,1529,skimage resize for paf
marl/openl3,https://github.com/marl/openl3/issues/71,71,72,API docs broken
marl/openl3,https://github.com/marl/openl3/issues/85,85,86,Breaks with librosa 0.9.x
marl/openl3,https://github.com/marl/openl3/issues/69,69,74,Add function to API for loading custom model weights
marl/openl3,https://github.com/marl/openl3/issues/73,73,72 75,"""""""skimage submodules not imported correctly regression tests fail"""""""
HazyResearch/fonduer,https://github.com/HazyResearch/fonduer/issues/227,227,230,Not compatible with spaCy v2.1.0
HazyResearch/fonduer,https://github.com/HazyResearch/fonduer/issues/56,56,59 64,Refactor codebase into submodules for each pipeline phase
HazyResearch/fonduer,https://github.com/HazyResearch/fonduer/issues/270,270,492,"""""""RegexMatchSpan with sep="""""""""""""""" concatenates words with sep=""""""""(space)"""""""""""""""
HazyResearch/fonduer,https://github.com/HazyResearch/fonduer/issues/66,66,149 356,Refactor docstrings and enforce using flake8-docstrings
HazyResearch/fonduer,https://github.com/HazyResearch/fonduer/issues/27,27,44,Switch to logging in Fonduer.
HazyResearch/fonduer,https://github.com/HazyResearch/fonduer/issues/104,104,130,Add japanese tokenization support
HazyResearch/fonduer,https://github.com/HazyResearch/fonduer/issues/259,259,343 407,Serializable Fonduer model
HazyResearch/fonduer,https://github.com/HazyResearch/fonduer/issues/310,310,320,Make -1 as abstain to be consistent with snorkel v0.9.0
HazyResearch/fonduer,https://github.com/HazyResearch/fonduer/issues/311,311,319 329,"""""""So many """"""""e2e/test_e2e.py::test_e2e"""""""" log messages during pytest"""""""
HazyResearch/fonduer,https://github.com/HazyResearch/fonduer/issues/29,29,44,Move all snorkel code directly into Fonduer. 
HazyResearch/fonduer,https://github.com/HazyResearch/fonduer/issues/290,290,291 296 313 354 367,Type hints
HazyResearch/fonduer,https://github.com/HazyResearch/fonduer/issues/422,422,427,"""""""Remove redundant """""""":type"""""""" and """""""":rtype"""""""" information from the docstring"""""""
HazyResearch/fonduer,https://github.com/HazyResearch/fonduer/issues/161,161,165,`longest_match_only` default value in `Matcher` subclasses
HazyResearch/fonduer,https://github.com/HazyResearch/fonduer/issues/474,474,475,make check fails because of an isort's breaking change
HazyResearch/fonduer,https://github.com/HazyResearch/fonduer/issues/19,19,20,Make fonduer a pip-installable package
HazyResearch/fonduer,https://github.com/HazyResearch/fonduer/issues/229,229,230,Travis CI job takes longer than the 50 minutes limit
HazyResearch/fonduer,https://github.com/HazyResearch/fonduer/issues/35,35,44,"""""""Scrub code related to sqlite which is unsupported in fonduer"""""""
onnx/sklearn-onnx,https://github.com/onnx/sklearn-onnx/issues/712,712,713 714 723,I am facing issues in converting Random forest with complex pipelines 
onnx/sklearn-onnx,https://github.com/onnx/sklearn-onnx/issues/670,670,677,please include type hint at least in the tutorial/documentation
onnx/sklearn-onnx,https://github.com/onnx/sklearn-onnx/issues/671,671,676,Sklearn LR predictions differ from onnx predictions (example present in current documentation)
onnx/sklearn-onnx,https://github.com/onnx/sklearn-onnx/issues/254,254,258,Adaboost classifier and regressor throw error with non-default base_estimator hyper-parameter
onnx/sklearn-onnx,https://github.com/onnx/sklearn-onnx/issues/370,370,444,OneVsRestClassifier decision function scores
stared/livelossplot,https://github.com/stared/livelossplot/issues/7,7,8,Plotting all history points when using fit_generator
stared/livelossplot,https://github.com/stared/livelossplot/issues/56,56,59 92,PlotLossesKeras has an issue with 'lr'
stared/livelossplot,https://github.com/stared/livelossplot/issues/37,37,38,"""""""""""""""'Module' object has no attribute 'callbacks'"""""""""""""""
stared/livelossplot,https://github.com/stared/livelossplot/issues/10,10,11,"""""""Handling more than one output but only one loss"""""""
stared/livelossplot,https://github.com/stared/livelossplot/issues/113,113,120,Setup outputs as str
stared/livelossplot,https://github.com/stared/livelossplot/issues/3,3,24,PlotLossesKeras not working due to TypeError
stared/livelossplot,https://github.com/stared/livelossplot/issues/75,75,77,Cannot log to Tensorboard because of automatic folder name
diffgram/diffgram,https://github.com/diffgram/diffgram/issues/632,632,669,Python coding style choices
GantMan/nsfw_model,https://github.com/GantMan/nsfw_model/issues/103,103,104,Windows Bug - Setting the Compile Flag to False when Loading Model
GantMan/nsfw_model,https://github.com/GantMan/nsfw_model/issues/20,20,21,Training with mobilenet?
GantMan/nsfw_model,https://github.com/GantMan/nsfw_model/issues/1,1,3 4,Make project easy to setup
GantMan/nsfw_model,https://github.com/GantMan/nsfw_model/issues/55,55,58,New version is broken
mozilla/bugbug,https://github.com/mozilla/bugbug/issues/152,152,175,Add 'reviewer experience' as feature
mozilla/bugbug,https://github.com/mozilla/bugbug/issues/187,187,188,Author and reviewer experience should ignore backouts
mozilla/bugbug,https://github.com/mozilla/bugbug/issues/427,427,441,Add stepstoreproduce training task
mozilla/bugbug,https://github.com/mozilla/bugbug/issues/127,127,130,Add bug alias as a feature
mozilla/bugbug,https://github.com/mozilla/bugbug/issues/367,367,341 398,Create a module listing all models
mozilla/bugbug,https://github.com/mozilla/bugbug/issues/278,278,301,Add number of previous commits touching the same directories as a feature
mozilla/bugbug,https://github.com/mozilla/bugbug/issues/18,18,449,Create a classifier to detect regression bugs that have no regression range
molecularsets/moses,https://github.com/molecularsets/moses/issues/71,71,72,"""""""The --ks option for script/eval.py should add """"""""type=int""""""""?"""""""
molecularsets/moses,https://github.com/molecularsets/moses/issues/28,28,29,Rewrite FCDMetric using fcd_torch
molecularsets/moses,https://github.com/molecularsets/moses/issues/12,12,23,Remove globals() from run scripts and relative imports
brendanhasz/probflow,https://github.com/brendanhasz/probflow/issues/20,20,54,Bayesian update method
brendanhasz/probflow,https://github.com/brendanhasz/probflow/issues/21,21,39,Multiple MC samples per batch
brendanhasz/probflow,https://github.com/brendanhasz/probflow/issues/10,10,53,Allow learning rate to be changed w/ PyTorch
brendanhasz/probflow,https://github.com/brendanhasz/probflow/issues/28,28,29,Requires tensorflow installed even if you not using it as the backend.
brendanhasz/probflow,https://github.com/brendanhasz/probflow/issues/34,34,37,Add flipout support for PyTorch
brendanhasz/probflow,https://github.com/brendanhasz/probflow/issues/18,18,31,"""""""Probabilistic option for Dense DenseNetwork Embedding and BatchNormalization"""""""
brendanhasz/probflow,https://github.com/brendanhasz/probflow/issues/38,38,41,Add batch_norm kwarg to DenseNetwork
brendanhasz/probflow,https://github.com/brendanhasz/probflow/issues/19,19,46,Centered parameter using QR reparameterization
brendanhasz/probflow,https://github.com/brendanhasz/probflow/issues/9,9,40,PyTorch mixture distribution
brendanhasz/probflow,https://github.com/brendanhasz/probflow/issues/35,35,36,Refactor tests
hackingmaterials/automatminer,https://github.com/hackingmaterials/automatminer/issues/230,230,246,Add warning for mismatched versions of automatminer on save/load
hackingmaterials/automatminer,https://github.com/hackingmaterials/automatminer/issues/226,226,246,"""""""Autofeaturizer caching needs to use matminer utils not pd.json"""""""
hackingmaterials/automatminer,https://github.com/hackingmaterials/automatminer/issues/231,231,246,Automatminer save/load needs more robust test
hackingmaterials/automatminer,https://github.com/hackingmaterials/automatminer/issues/216,216,246,Docs suck
hackingmaterials/automatminer,https://github.com/hackingmaterials/automatminer/issues/241,241,246,Pipeline save/load with TPOT backend doesn't attrs in intuitive way
hackingmaterials/automatminer,https://github.com/hackingmaterials/automatminer/issues/221,221,246,Change or add to digest to make it easier to read
hackingmaterials/automatminer,https://github.com/hackingmaterials/automatminer/issues/234,234,246,MatPipe.load should refuse to load from class instance
hackingmaterials/automatminer,https://github.com/hackingmaterials/automatminer/issues/239,239,246,More pipeline diagnostics
hackingmaterials/automatminer,https://github.com/hackingmaterials/automatminer/issues/204,204,243 246,initialize_logger has confusing arguments
hackingmaterials/automatminer,https://github.com/hackingmaterials/automatminer/issues/253,253,254 255,TypeError: can't pickle _thread.RLock objects when saving a pipe
hackingmaterials/automatminer,https://github.com/hackingmaterials/automatminer/issues/228,228,246,Make it easier to ignore entire columns but keep them in returned df
hackingmaterials/automatminer,https://github.com/hackingmaterials/automatminer/issues/208,208,245 246,Enforce a code style
hackingmaterials/automatminer,https://github.com/hackingmaterials/automatminer/issues/199,199,246,Add warning when large numbers of samples imputed/handled
hackingmaterials/automatminer,https://github.com/hackingmaterials/automatminer/issues/232,232,246,Add .from_preset method to MatPipe
hackingmaterials/automatminer,https://github.com/hackingmaterials/automatminer/issues/229,229,246,Fix requirements
hackingmaterials/automatminer,https://github.com/hackingmaterials/automatminer/issues/205,205,246,rm /tutorials and add to matminer_examples
hackingmaterials/automatminer,https://github.com/hackingmaterials/automatminer/issues/244,244,246,Code docs need overhaul
HunterMcGushion/hyperparameter_hunter,https://github.com/HunterMcGushion/hyperparameter_hunter/issues/98,98,119,Rename lengthy `Environment` parameters
HunterMcGushion/hyperparameter_hunter,https://github.com/HunterMcGushion/hyperparameter_hunter/issues/77,77,76,Update `lambda_callback` to automatically handle return values
HunterMcGushion/hyperparameter_hunter,https://github.com/HunterMcGushion/hyperparameter_hunter/issues/47,47,76,`AggregatorEpochsElapsed` breaks with repeated CV schemes
HunterMcGushion/hyperparameter_hunter,https://github.com/HunterMcGushion/hyperparameter_hunter/issues/88,88,89,hyperparameter space issue
HunterMcGushion/hyperparameter_hunter,https://github.com/HunterMcGushion/hyperparameter_hunter/issues/93,93,94,HPH Regression?
HunterMcGushion/hyperparameter_hunter,https://github.com/HunterMcGushion/hyperparameter_hunter/issues/69,69,76,Add callback recipes
HunterMcGushion/hyperparameter_hunter,https://github.com/HunterMcGushion/hyperparameter_hunter/issues/90,90,95,logloss issue...
HunterMcGushion/hyperparameter_hunter,https://github.com/HunterMcGushion/hyperparameter_hunter/issues/111,111,118,Keras optimization issue
HunterMcGushion/hyperparameter_hunter,https://github.com/HunterMcGushion/hyperparameter_hunter/issues/25,25,86,UninformedOptimizationProtocols need `current_hyperparameters_list`
HunterMcGushion/hyperparameter_hunter,https://github.com/HunterMcGushion/hyperparameter_hunter/issues/33,33,86,Documentation for `optimization_core.UninformedOptimizationProtocol`
HunterMcGushion/hyperparameter_hunter,https://github.com/HunterMcGushion/hyperparameter_hunter/issues/34,34,91,`tell` optimizer positive/negative utility values depending on `target_metric`
HunterMcGushion/hyperparameter_hunter,https://github.com/HunterMcGushion/hyperparameter_hunter/issues/80,80,79 84,CatBoost can't handle both silent and verbose switches.
HunterMcGushion/hyperparameter_hunter,https://github.com/HunterMcGushion/hyperparameter_hunter/issues/78,78,79 81 83,Using holdout set results in ValueError.
HunterMcGushion/hyperparameter_hunter,https://github.com/HunterMcGushion/hyperparameter_hunter/issues/19,19,76,Confusion matrix using `lambda_callback`
mila-iqia/babyai,https://github.com/mila-iqia/babyai/issues/16,16,18,get rid of GoToAdjPos
mila-iqia/babyai,https://github.com/mila-iqia/babyai/issues/37,37,38,Make train_intelligent_expert.py resumable
mila-iqia/babyai,https://github.com/mila-iqia/babyai/issues/28,28,30,support Python reference as an argument in GoNextTo
mila-iqia/babyai,https://github.com/mila-iqia/babyai/issues/29,29,31 36,go straight for the key when you head for locked door
mila-iqia/babyai,https://github.com/mila-iqia/babyai/issues/14,14,13,looking for very very blocked objects
mila-iqia/babyai,https://github.com/mila-iqia/babyai/issues/23,23,24,reseed the rng for every mission when generating demos
sksq96/pytorch-summary,https://github.com/sksq96/pytorch-summary/issues/99,99,100,Interface for providing string summary
sksq96/pytorch-summary,https://github.com/sksq96/pytorch-summary/issues/4,4,10,"""""""ValueError: Expected more than 1 value per channel when training got input size [1 256]"""""""
qubvel/efficientnet,https://github.com/qubvel/efficientnet/issues/135,135,130,The drop connect rate (aka survival rate) is incorrect
qubvel/efficientnet,https://github.com/qubvel/efficientnet/issues/60,60,130,[tf 2.0] efficientnetB7 - Large dropout rate
qubvel/efficientnet,https://github.com/qubvel/efficientnet/issues/51,51,52,inference errors when loading models due to backend.backend()
qubvel/efficientnet,https://github.com/qubvel/efficientnet/issues/127,127,128,AttributeError: module 'keras.utils' has no attribute 'generic_utils'
qubvel/efficientnet,https://github.com/qubvel/efficientnet/issues/55,55,56,New weights available 
netrack/keras-metrics,https://github.com/netrack/keras-metrics/issues/13,13,25,load_model problem
netrack/keras-metrics,https://github.com/netrack/keras-metrics/issues/3,3,4 5,Binary classification with 2 units gives wrong precision and recall
netrack/keras-metrics,https://github.com/netrack/keras-metrics/issues/22,22,23,"""""""""""""""ValueError: too many values to unpack (expected 2)"""""""" on using precision and recall metrics for binary segmentation"""""""
netrack/keras-metrics,https://github.com/netrack/keras-metrics/issues/18,18,19,What does the `reset_states` do?
netrack/keras-metrics,https://github.com/netrack/keras-metrics/issues/14,14,15,f1_score: nan
hujinsen/StarGAN-Voice-Conversion,https://github.com/hujinsen/StarGAN-Voice-Conversion/issues/20,20,22,Do not use os.path.join and str.split('/') both
hujinsen/StarGAN-Voice-Conversion,https://github.com/hujinsen/StarGAN-Voice-Conversion/issues/24,24,25,AttributeError: module 'posixpath' has no attribute 'normpaths'
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/396,396,405,Fix visualization for single-class mode
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/115,115,133,Bug with visualization
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/142,142,208,Remove OpenCV dependency
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/292,292,294,"""""""Model_choice.py: refactor model loss and optimizer instantiation and loading"""""""
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/154,154,191,Save hyperparameters in checkpoint.pth
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/380,380,384,[BUG] AOI: cannot write multiband destination raster in __init__()
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/103,103,329,Automated testing and code coverage
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/251,251,253,Reimplement target_ids
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/98,98,112,Mismatch between values for number of classes?
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/77,77,95,Migrate to PyTorch 1.2
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/61,61,62,"""""""Sync/cp of log files fails with AWS cli due to """""""":"""""""" in the filename"""""""
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/36,36,37,Import torch order
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/288,288,289,"""""""Remove unused and unadapted model architecture: TernausNet FCN_resnet etc."""""""
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/271,271,273,Refactor: manage tracker initialization with set_tracker() function
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/57,57,64,Add a Validation for the Number of Classes in Classification Tasks
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/420,420,421,aois_from_csv: progress bar doesn't show total length
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/82,82,208,CoordConv and spatial resolution
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/6,6,30,Add classification capacity
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/359,359,374,[feature request] raster enhancement: add CLAHE enhancement option to AOI
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/83,83,96,Multi GPU support
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/319,319,323,AOI creation: check % overlap between raster and label bounds
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/362,362,364,problems with VRT Dataset Output  
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/246,246,261 256 295,Model choice: maximize Hydra's features
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/138,138,270,Update data_analysis.py according to last devs on gdl
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/99,99,100,Class metric log file name
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/179,179,208,train_classification.py
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/381,381,386,Solaris library: replace and remove
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/293,293,295,Hydra: Create optimizer using instantiate()
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/47,47,48,AWS - Entity too large when calling the PutObject operation
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/10,10,19,Add the choice of model in config file
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/220,220,239 248,Deprecation: CoordConv & Spatial Resolution as training layer
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/125,125,147,Experiment tracking
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/349,349,357,Checkpoint: add tests to updating utility
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/84,84,89,Receptive field calculated from max pooling layers
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/390,390,407,AOI creation fails with empty gpkg
