Project Name,Issue URL,issue number,pr that mention,title
allenai/scispacy,https://github.com/allenai/scispacy/issues/242,242,288 ,UmlsEntityLinker file in cache
allenai/scispacy,https://github.com/allenai/scispacy/issues/366,366,367 ,Explanation for the M parameter in CreateIndex in nmslib
allenai/scispacy,https://github.com/allenai/scispacy/issues/130,130,131 ,Can scispacy models be used in spacy without having installed the additional requirements?
allenai/scispacy,https://github.com/allenai/scispacy/issues/300,300,295 ,Clean up vocab creation
allenai/scispacy,https://github.com/allenai/scispacy/issues/228,228,229 ,What is the purpose of the awscli dependency? 
allenai/scispacy,https://github.com/allenai/scispacy/issues/140,140,146 ,Can not reproduce tagging and parsing results
allenai/scispacy,https://github.com/allenai/scispacy/issues/265,265,264 ,Test case failures(test_custom_segmentation)
allenai/scispacy,https://github.com/allenai/scispacy/issues/376,376,377 ,"Rename ""filter for no defintions"" to ""prefer_entities_with_definitions"""
allenai/scispacy,https://github.com/allenai/scispacy/issues/161,161,209 ,Special cases in abbreviation algorithm
allenai/scispacy,https://github.com/allenai/scispacy/issues/100,100,172 ,Under/over-splitting in BioNLP09: common cases
allenai/scispacy,https://github.com/allenai/scispacy/issues/317,317,320 ,Missing Requirement for en_core_sci_scibert
allenai/scispacy,https://github.com/allenai/scispacy/issues/252,252,274 ,Duplicate aliases
allenai/scispacy,https://github.com/allenai/scispacy/issues/213,213,218 ,BibTex citation wrong in README
ildoonet/pytorch-gradual-warmup-lr,https://github.com/ildoonet/pytorch-gradual-warmup-lr/issues/1,1,2 ,"why i got this error, when the warmup epoches ends. "
ildoonet/pytorch-gradual-warmup-lr,https://github.com/ildoonet/pytorch-gradual-warmup-lr/issues/18,18,20 ,Math is wrong for multiplier=1 
sniklaus/pytorch-hed,https://github.com/sniklaus/pytorch-hed/issues/22,22,23 ,May have found a method to get a better ODS score
titipata/detecting-scientific-claim,https://github.com/titipata/detecting-scientific-claim/issues/27,27,28 ,"I want to install the discourse classes, using PyPi"
developmentseed/label-maker,https://github.com/developmentseed/label-maker/issues/16,16,23 ,Don't save full labels.npz for sparse datasets
developmentseed/label-maker,https://github.com/developmentseed/label-maker/issues/158,158,159 ,Background tile ratio 
developmentseed/label-maker,https://github.com/developmentseed/label-maker/issues/123,123,124 ,`labels` subcommand broken by default python
developmentseed/label-maker,https://github.com/developmentseed/label-maker/issues/122,122,129 ,Error in running label-maker for skynet-train
developmentseed/label-maker,https://github.com/developmentseed/label-maker/issues/10,10,28 ,Make rasterization improvements
developmentseed/label-maker,https://github.com/developmentseed/label-maker/issues/51,51,54 ,Store intermediate results as pickle
developmentseed/label-maker,https://github.com/developmentseed/label-maker/issues/113,113,114 ,Label array not equal to the length of class
developmentseed/label-maker,https://github.com/developmentseed/label-maker/issues/152,152,153 ,Add authentication to `GET` requests
developmentseed/label-maker,https://github.com/developmentseed/label-maker/issues/71,71,73 ,Standardize TIF extensions
developmentseed/label-maker,https://github.com/developmentseed/label-maker/issues/67,67,74 ,About example: workthrough-tensorflow-object-detection
developmentseed/label-maker,https://github.com/developmentseed/label-maker/issues/169,169,170 ,`get_bounds` only works for polygons
developmentseed/label-maker,https://github.com/developmentseed/label-maker/issues/1,1,20 ,U-Net segmentation example
developmentseed/label-maker,https://github.com/developmentseed/label-maker/issues/93,93,94 ,Support WMS Endpoints
developmentseed/label-maker,https://github.com/developmentseed/label-maker/issues/46,46,55 ,Sparse flag doesn't work for segmentation
developmentseed/label-maker,https://github.com/developmentseed/label-maker/issues/2,2,4 ,Commands will fail if terminal pwd isn't in `/label-maker`
developmentseed/label-maker,https://github.com/developmentseed/label-maker/issues/12,12,182 ,Speed up tile downloads
developmentseed/label-maker,https://github.com/developmentseed/label-maker/issues/32,32,109 ,Handle human-generated non-OSM labels
developmentseed/label-maker,https://github.com/developmentseed/label-maker/issues/24,24,27 ,Update pylintrc so pylint is less annoying
developmentseed/label-maker,https://github.com/developmentseed/label-maker/issues/147,147,149 ,Allow LabelMaker to return data split into test/train sets or test/train/validation  
developmentseed/label-maker,https://github.com/developmentseed/label-maker/issues/64,64,70 ,Color blind safe colors for object-detection/segmentation labels
developmentseed/label-maker,https://github.com/developmentseed/label-maker/issues/68,68,72 ,Running through the readme sequentially results in a warning
developmentseed/label-maker,https://github.com/developmentseed/label-maker/issues/3,3,164 ,`python setup.py install` causes problems
developmentseed/label-maker,https://github.com/developmentseed/label-maker/issues/63,63,75 76 ,preview creates n+1 tiles
developmentseed/label-maker,https://github.com/developmentseed/label-maker/issues/22,22,72 ,errors occur when packaging for the two examples (Tanzania and Vietnam)
developmentseed/label-maker,https://github.com/developmentseed/label-maker/issues/156,156,157 ,"Using this command ""label-maker images"" getting an error and not able to download the tiles!"
developmentseed/label-maker,https://github.com/developmentseed/label-maker/issues/160,160,157 ,Circle CI doesn't sync
developmentseed/label-maker,https://github.com/developmentseed/label-maker/issues/80,80,82 ,downloading using a COG and download endpoint results in tiles without an extension
developmentseed/label-maker,https://github.com/developmentseed/label-maker/issues/79,79,81 ,preview fails with: missing 1 required positional argument: 'imagery_offset'
developmentseed/label-maker,https://github.com/developmentseed/label-maker/issues/43,43,72 ,OSError: cannot identify image file <_io.BytesIO object at 0x7fc87f2ec678>
developmentseed/label-maker,https://github.com/developmentseed/label-maker/issues/116,116,119 ,Error: Segmentation fault (core dumped)
developmentseed/label-maker,https://github.com/developmentseed/label-maker/issues/58,58,59 ,Add an option for imagery offsets
Spenhouet/tensorboard-aggregator,https://github.com/Spenhouet/tensorboard-aggregator/issues/2,2,7 ,What if there are no subfolders test/train? 
omar178/Emotion-recognition,https://github.com/omar178/Emotion-recognition/issues/25,25,28 ,Requirements.txt not Found
omar178/Emotion-recognition,https://github.com/omar178/Emotion-recognition/issues/9,9,34 ,Hey. when I have all the modules installed but running this gives following error.
omar178/Emotion-recognition,https://github.com/omar178/Emotion-recognition/issues/35,35,34 ,val_acc KeyError using ModelCheckpoint.
apachecn/pytorch-doc-zh,https://github.com/apachecn/pytorch-doc-zh/issues/561,561,562 ,【从零开始的 NLP：使用字符级 RNN 分类名称】实例代码错误
sipeed/MaixPy_scripts,https://github.com/sipeed/MaixPy_scripts/issues/120,120,125 ,windows pull代码错误
dirty-cat/dirty_cat,https://github.com/dirty-cat/dirty_cat/issues/115,115,116 ,dirty_cat jaro distance is different from python-Levenshtein package
dirty-cat/dirty_cat,https://github.com/dirty-cat/dirty_cat/issues/292,292,298 ,Broken `parametrize`
dirty-cat/dirty_cat,https://github.com/dirty-cat/dirty_cat/issues/338,338,340 ,Fix links to scikit-learn in release notes
dirty-cat/dirty_cat,https://github.com/dirty-cat/dirty_cat/issues/380,380,365 ,Clean up our dependencies.txt files
dirty-cat/dirty_cat,https://github.com/dirty-cat/dirty_cat/issues/103,103,104 108 ,similarity encoder broken by recent change in scikit-learn _BaseEncoder
dirty-cat/dirty_cat,https://github.com/dirty-cat/dirty_cat/issues/178,178,201 207 ,Missing values replaced by the SuperVectorizer
dirty-cat/dirty_cat,https://github.com/dirty-cat/dirty_cat/issues/343,343,344 ,HistGradientBoostingRegressor import needs to be experimental
dirty-cat/dirty_cat,https://github.com/dirty-cat/dirty_cat/issues/36,36,37 ,requests version required
dirty-cat/dirty_cat,https://github.com/dirty-cat/dirty_cat/issues/230,230,235 ,Add an handle_unknown parameter for SuperVectorizer.
dirty-cat/dirty_cat,https://github.com/dirty-cat/dirty_cat/issues/288,288,289 ,Bump to Python 3.8
dirty-cat/dirty_cat,https://github.com/dirty-cat/dirty_cat/issues/334,334,360 ,"Use of  `if __name__ == ""__main__""`:"
dirty-cat/dirty_cat,https://github.com/dirty-cat/dirty_cat/issues/226,226,282 ,Remove python-levenstein
dirty-cat/dirty_cat,https://github.com/dirty-cat/dirty_cat/issues/94,94,95 ,intersphinx does not link to scikit-learn for inline code
dirty-cat/dirty_cat,https://github.com/dirty-cat/dirty_cat/issues/83,83,84 ,BUG: uncompressed csv filepath changed for medical_charge
dirty-cat/dirty_cat,https://github.com/dirty-cat/dirty_cat/issues/319,319,389 ,Rename master branch to main
dirty-cat/dirty_cat,https://github.com/dirty-cat/dirty_cat/issues/227,227,237 ,Clearer homepage
dirty-cat/dirty_cat,https://github.com/dirty-cat/dirty_cat/issues/231,231,238 ,Replace strings which indicates missing values by NaNs  (for SuperVectorizer)
dirty-cat/dirty_cat,https://github.com/dirty-cat/dirty_cat/issues/180,180,200 ,Drop 'Current Annual Salary' in employee_salaries loader
dirty-cat/dirty_cat,https://github.com/dirty-cat/dirty_cat/issues/246,246,300 ,One hot encoding of Supervectorizer for columns with 2 values
dirty-cat/dirty_cat,https://github.com/dirty-cat/dirty_cat/issues/196,196,199 ,Using labels for issues
dirty-cat/dirty_cat,https://github.com/dirty-cat/dirty_cat/issues/315,315,331 362 ,Make API private
dirty-cat/dirty_cat,https://github.com/dirty-cat/dirty_cat/issues/440,440,441 ,Redundant ngram_similarity function name
dirty-cat/dirty_cat,https://github.com/dirty-cat/dirty_cat/issues/293,293,294 ,Add the type of problem in the example datasets
dirty-cat/dirty_cat,https://github.com/dirty-cat/dirty_cat/issues/143,143,144 ,Example 04 uses race and gender attributes
dirty-cat/dirty_cat,https://github.com/dirty-cat/dirty_cat/issues/373,373,374 397 400 399 417 437 471 ,Add simple reproducible examples to features
dirty-cat/dirty_cat,https://github.com/dirty-cat/dirty_cat/issues/324,324,395 ,Improve doc on examples
dirty-cat/dirty_cat,https://github.com/dirty-cat/dirty_cat/issues/92,92,93 ,DOC note block and python code block have the same background
dirty-cat/dirty_cat,https://github.com/dirty-cat/dirty_cat/issues/164,164,197 274 ,Run scikit-learn's common tests on dirty_cat's estimators
dirty-cat/dirty_cat,https://github.com/dirty-cat/dirty_cat/issues/113,113,114 ,Travis is gone
dirty-cat/dirty_cat,https://github.com/dirty-cat/dirty_cat/issues/406,406,413 ,Fetching tests raise errors at random
dirty-cat/dirty_cat,https://github.com/dirty-cat/dirty_cat/issues/447,447,435 448 ,CircleCI failing to build docs
dirty-cat/dirty_cat,https://github.com/dirty-cat/dirty_cat/issues/312,312,365 ,Switch to `pyproject.toml`
dirty-cat/dirty_cat,https://github.com/dirty-cat/dirty_cat/issues/345,345,367 368 399 421 ,Ensure that docstrings pass numpydoc validation
dirty-cat/dirty_cat,https://github.com/dirty-cat/dirty_cat/issues/304,304,308 ,Add black and flake8 pre-commit hooks
dirty-cat/dirty_cat,https://github.com/dirty-cat/dirty_cat/issues/168,168,169 ,AttributeError: 'SimilarityEncoder' object has no attribute 'drop_idx_'
dirty-cat/dirty_cat,https://github.com/dirty-cat/dirty_cat/issues/186,186,187 ,Configure sphinx-gallery to enable binder usage
dirty-cat/dirty_cat,https://github.com/dirty-cat/dirty_cat/issues/305,305,287 321 ,Add doc consistency check
dirty-cat/dirty_cat,https://github.com/dirty-cat/dirty_cat/issues/352,352,353 ,pre-commit-config should exclude examples
dirty-cat/dirty_cat,https://github.com/dirty-cat/dirty_cat/issues/190,190,195 ,Add contributing guidelines
dirty-cat/dirty_cat,https://github.com/dirty-cat/dirty_cat/issues/411,411,412 ,Random error with the `GapEncoder`
dirty-cat/dirty_cat,https://github.com/dirty-cat/dirty_cat/issues/387,387,391 ,Add tests to ensure fuzzy_join and pandas.merge produce similar results
dirty-cat/dirty_cat,https://github.com/dirty-cat/dirty_cat/issues/145,145,151 152 154 ,04_dimension_reduction_and_performance throws a multiprocessing exception on windows
dirty-cat/dirty_cat,https://github.com/dirty-cat/dirty_cat/issues/112,112,141 ,can't read the data? 
dirty-cat/dirty_cat,https://github.com/dirty-cat/dirty_cat/issues/309,309,287 316 ,Switch from Napoleon to numpydoc
dirty-cat/dirty_cat,https://github.com/dirty-cat/dirty_cat/issues/165,165,185 ,GapEncoder only supports 1D matrices
dirty-cat/dirty_cat,https://github.com/dirty-cat/dirty_cat/issues/124,124,128 130 132 ,Add support for missing values in the encoders
dirty-cat/dirty_cat,https://github.com/dirty-cat/dirty_cat/issues/260,260,261 ,DeprecationWarning: distutils Version classes are deprecated. Use packaging.version instead.
dirty-cat/dirty_cat,https://github.com/dirty-cat/dirty_cat/issues/149,149,147 189 ,Codecov for ``count_3_grams.py`` at 0%
dirty-cat/dirty_cat,https://github.com/dirty-cat/dirty_cat/issues/127,127,133 ,Minhash encoder does not perform well on the dirty-cat examples
dirty-cat/dirty_cat,https://github.com/dirty-cat/dirty_cat/issues/259,259,262 ,missed scikit-learn api changes on get_feature_names
dirty-cat/dirty_cat,https://github.com/dirty-cat/dirty_cat/issues/53,53,283 ,improve target encoder
dirty-cat/dirty_cat,https://github.com/dirty-cat/dirty_cat/issues/275,275,328 410 ,`Version` might not work with special versions
dirty-cat/dirty_cat,https://github.com/dirty-cat/dirty_cat/issues/330,330,359 ,Generated doc is broken
dirty-cat/dirty_cat,https://github.com/dirty-cat/dirty_cat/issues/326,326,405 ,Add test for `CHANGES.rst`
dirty-cat/dirty_cat,https://github.com/dirty-cat/dirty_cat/issues/234,234,238 ,Handle string in auto_cast (SuperVectorizer)
dirty-cat/dirty_cat,https://github.com/dirty-cat/dirty_cat/issues/371,371,375 291 379 429 434 444 ,Improve coverage of main features
dirty-cat/dirty_cat,https://github.com/dirty-cat/dirty_cat/issues/32,32,40 ,Add all fetcher to documentation with a small docstring
dirty-cat/dirty_cat,https://github.com/dirty-cat/dirty_cat/issues/306,306,339 ,Deduplication
dirty-cat/dirty_cat,https://github.com/dirty-cat/dirty_cat/issues/214,214,217 ,Page contents in sidebar
dirty-cat/dirty_cat,https://github.com/dirty-cat/dirty_cat/issues/193,193,197 ,Better error message when SuperVectorizer's transform method is called before fit
dirty-cat/dirty_cat,https://github.com/dirty-cat/dirty_cat/issues/310,310,313 ,Improve our test report to make doc build more discoverable
dirty-cat/dirty_cat,https://github.com/dirty-cat/dirty_cat/issues/384,384,383 365 ,Rework our version matrix on the CI
dirty-cat/dirty_cat,https://github.com/dirty-cat/dirty_cat/issues/279,279,281 ,Inconsistencies regarding transition from `get_feature_names` to `get_feature_names_out`
dirty-cat/dirty_cat,https://github.com/dirty-cat/dirty_cat/issues/296,296,297 ,`RuntimeError` should be warning
dirty-cat/dirty_cat,https://github.com/dirty-cat/dirty_cat/issues/146,146,148 ,Apply minhash_encoder to more than 1024 categories returns -1
dirty-cat/dirty_cat,https://github.com/dirty-cat/dirty_cat/issues/404,404,425 ,Better benchmarks
dirty-cat/dirty_cat,https://github.com/dirty-cat/dirty_cat/issues/111,111,150 ,Add the run-circleci-artifacts-redirector to link to rendered docs
dirty-cat/dirty_cat,https://github.com/dirty-cat/dirty_cat/issues/393,393,394 ,Website is not regenerating
dirty-cat/dirty_cat,https://github.com/dirty-cat/dirty_cat/issues/385,385,386 ,Remove example 5 from main webpage
dirty-cat/dirty_cat,https://github.com/dirty-cat/dirty_cat/issues/192,192,198 ,Consider switching auto_cast to True in the SuperVectorizer
dirty-cat/dirty_cat,https://github.com/dirty-cat/dirty_cat/issues/215,215,218 219 ,Links in notebooks points to outdated scikit-learn doc
dirty-cat/dirty_cat,https://github.com/dirty-cat/dirty_cat/issues/307,307,327 ,Update contributing guidelines
dirty-cat/dirty_cat,https://github.com/dirty-cat/dirty_cat/issues/370,370,372 ,Contributing guidelines missing clear instructions on branch creation
dirty-cat/dirty_cat,https://github.com/dirty-cat/dirty_cat/issues/171,171,169 172 ,Move our tests from travis to azure pipelines
dirty-cat/dirty_cat,https://github.com/dirty-cat/dirty_cat/issues/188,188,408 ,Topic labels that changes over multiple calls of get_feature_names in GapEncoder
dirty-cat/dirty_cat,https://github.com/dirty-cat/dirty_cat/issues/357,357,359 ,Fetching functions' style is not great
dirty-cat/dirty_cat,https://github.com/dirty-cat/dirty_cat/issues/290,290,392 ,Merge examples 2 and 3
dirty-cat/dirty_cat,https://github.com/dirty-cat/dirty_cat/issues/140,140,141 ,Warning messages in notebook 04_dimension_reduction_and_performance
dirty-cat/dirty_cat,https://github.com/dirty-cat/dirty_cat/issues/160,160,161 ,"GapEncoder - RuntimeWarning: overflow encountered in reciprocal , overflow encountered in true_divide"
dirty-cat/dirty_cat,https://github.com/dirty-cat/dirty_cat/issues/422,422,423 ,get_feature_names_out as an array make test fail
dirty-cat/dirty_cat,https://github.com/dirty-cat/dirty_cat/issues/224,224,225 271 ,The docstrings of the downloaders do not list the URL to the dataset
dirty-cat/dirty_cat,https://github.com/dirty-cat/dirty_cat/issues/361,361,388 ,Add a conditional CSS rule to display a warning on dev version of docs
dirty-cat/dirty_cat,https://github.com/dirty-cat/dirty_cat/issues/418,418,420 446 ,fuzzy_join is slow with big number of categories
dirty-cat/dirty_cat,https://github.com/dirty-cat/dirty_cat/issues/336,336,337 ,Classe names in the Release notes are not links
dirty-cat/dirty_cat,https://github.com/dirty-cat/dirty_cat/issues/265,265,273 ,Fetching data doesn't work with minimal requirements
dirty-cat/dirty_cat,https://github.com/dirty-cat/dirty_cat/issues/232,232,236 266 ,Replace columns indexes by columns names in SuperVectorizer.transformers_
dirty-cat/dirty_cat,https://github.com/dirty-cat/dirty_cat/issues/377,377,378 ,"MinHashEncoder does not understand ""None"" as missing value"
dirty-cat/dirty_cat,https://github.com/dirty-cat/dirty_cat/issues/233,233,238 239 ,Handling date columns in SuperVectorizer
dirty-cat/dirty_cat,https://github.com/dirty-cat/dirty_cat/issues/376,376,379 291 401 402 ,Make our tests more robust to flawky downloads
dirty-cat/dirty_cat,https://github.com/dirty-cat/dirty_cat/issues/54,54,167 ,Automatic column vectorizer depending on the column structure
dirty-cat/dirty_cat,https://github.com/dirty-cat/dirty_cat/issues/177,177,181 ,Function signatures hard to read due to type hinting
dirty-cat/dirty_cat,https://github.com/dirty-cat/dirty_cat/issues/120,120,122 ,add 1% threshold in codecove yml
dirty-cat/dirty_cat,https://github.com/dirty-cat/dirty_cat/issues/136,136,137 ,Migrate Travis worker from Python 3.7 to 3.8
dirty-cat/dirty_cat,https://github.com/dirty-cat/dirty_cat/issues/442,442,443 ,Encoders do not raise parameter Value Error at initialisation
dirty-cat/dirty_cat,https://github.com/dirty-cat/dirty_cat/issues/229,229,271 ,Documentation: missing pointers to the upstream URL of the dataset
dirty-cat/dirty_cat,https://github.com/dirty-cat/dirty_cat/issues/252,252,253 ,Latest release of scikit-learn has broken dirty-cat
dirty-cat/dirty_cat,https://github.com/dirty-cat/dirty_cat/issues/194,194,212 ,More didactic (simpler) example code
dirty-cat/dirty_cat,https://github.com/dirty-cat/dirty_cat/issues/213,213,216 ,warnings with new scikit-learn
dirty-cat/dirty_cat,https://github.com/dirty-cat/dirty_cat/issues/244,244,248 ,Super Vectorizer transforms data to sparse matrices
NVlabs/MUNIT,https://github.com/NVlabs/MUNIT/issues/16,16,17 ,Update the requirements?
beringresearch/ivis,https://github.com/beringresearch/ivis/issues/40,40,41 ,Import reticulate::virtualenv_remove in NAMESPACE
beringresearch/ivis,https://github.com/beringresearch/ivis/issues/101,101,106 ,`NotFittedError` after caching and reloading fitted `Ivis` instance
beringresearch/ivis,https://github.com/beringresearch/ivis/issues/38,38,42 ,Add a vignette to the R package
aiqm/torchani,https://github.com/aiqm/torchani/issues/115,115,107 ,Edge branch of PyTorch for future development
aiqm/torchani,https://github.com/aiqm/torchani/issues/103,103,116 ,[PyTorch dev] Remove `AEVComputer. _combinations`
aiqm/torchani,https://github.com/aiqm/torchani/issues/251,251,255 ,Include linear fitting for EnergyShifter 
aiqm/torchani,https://github.com/aiqm/torchani/issues/20,20,21 ,use new dataloader API in examples
aiqm/torchani,https://github.com/aiqm/torchani/issues/343,343,352 ,Code improvement
aiqm/torchani,https://github.com/aiqm/torchani/issues/181,181,353 ,Support tensor.new_full and tensor.new_zeros in JIT and cleanup
aiqm/torchani,https://github.com/aiqm/torchani/issues/549,549,516 587 ,CUAEV cuda 11 error
aiqm/torchani,https://github.com/aiqm/torchani/issues/461,461,462 ,SpeciesConverter returns species on CPU
aiqm/torchani,https://github.com/aiqm/torchani/issues/498,498,550 ,Provide better error message when the dataset is empty
aiqm/torchani,https://github.com/aiqm/torchani/issues/162,162,163 ,"Install fails with ""No matching distribution found for torch-nightly (from torchani)"""
aiqm/torchani,https://github.com/aiqm/torchani/issues/499,499,500 ,specify path to ANI2x parameter location
aiqm/torchani,https://github.com/aiqm/torchani/issues/335,335,341 ,CUDA support is broken
aiqm/torchani,https://github.com/aiqm/torchani/issues/17,17,21 ,Use ignite API to rewrite examples
aiqm/torchani,https://github.com/aiqm/torchani/issues/148,148,153 ,Increase the chemical space coverage of unit tests
aiqm/torchani,https://github.com/aiqm/torchani/issues/518,518,516 ,CUAEV Torchscript compatible
aiqm/torchani,https://github.com/aiqm/torchani/issues/522,522,516 565 ,CUAEV slower than pyaev as molecule size increase to 1000 atoms or more
aiqm/torchani,https://github.com/aiqm/torchani/issues/113,113,171 ,python2 inference support
aiqm/torchani,https://github.com/aiqm/torchani/issues/514,514,515 ,Depracation: torch.norm is depracated
aiqm/torchani,https://github.com/aiqm/torchani/issues/305,305,306 307 ,Make the whole TorchANI exportable through TorchScript
aiqm/torchani,https://github.com/aiqm/torchani/issues/190,190,191 ,Change default dtype for ase interface to float64
aiqm/torchani,https://github.com/aiqm/torchani/issues/485,485,488 ,Create a test for SAE calculations
aiqm/torchani,https://github.com/aiqm/torchani/issues/112,112,224 ,Reduce dependency for inference only applications
aiqm/torchani,https://github.com/aiqm/torchani/issues/276,276,278 ,New update in PyTorch break forces
aiqm/torchani,https://github.com/aiqm/torchani/issues/598,598,602 ,The conversion of the ANI-2x model to TorchScript fails with PyTorch 1.9
aiqm/torchani,https://github.com/aiqm/torchani/issues/388,388,389 ,Documentation on units
aiqm/torchani,https://github.com/aiqm/torchani/issues/408,408,409 ,ASE forces incorrect shape for single-atom system
aiqm/torchani,https://github.com/aiqm/torchani/issues/243,243,245 275 279 280 283 ,Make torchani's training setup identical to neurochem 
aiqm/torchani,https://github.com/aiqm/torchani/issues/49,49,52 ,Add energy shifter as a Module and make it possible to pipeline with others
aiqm/torchani,https://github.com/aiqm/torchani/issues/595,595,597 ,CUAEV RuntimeError: CUDA error: an illegal memory access was encountered
aiqm/torchani,https://github.com/aiqm/torchani/issues/183,183,188 ,Fix the item support in JIT and clean up TorchANI code
aiqm/torchani,https://github.com/aiqm/torchani/issues/443,443,548 ,Split of dataset is not stored in the example training script
aiqm/torchani,https://github.com/aiqm/torchani/issues/140,140,152 ,Version tag
aiqm/torchani,https://github.com/aiqm/torchani/issues/199,199,338 ,Sum atomic energy in float64?
aiqm/torchani,https://github.com/aiqm/torchani/issues/336,336,339 ,Right version of torch in setup.py
aiqm/torchani,https://github.com/aiqm/torchani/issues/320,320,322 ,Bring badges back for GitHub Actions
aiqm/torchani,https://github.com/aiqm/torchani/issues/458,458,489 ,PADDING is hardcoded in data/__init__.py
aiqm/torchani,https://github.com/aiqm/torchani/issues/618,618,619 ,cuaev tests fail with pytorch nightly
aiqm/torchani,https://github.com/aiqm/torchani/issues/511,511,512 ,Inference with unknown species
aiqm/torchani,https://github.com/aiqm/torchani/issues/141,141,150 ,Switch to nightly ignite and clean up codes
aiqm/torchani,https://github.com/aiqm/torchani/issues/507,507,508 ,The source pypi archive is not conventional
aiqm/torchani,https://github.com/aiqm/torchani/issues/415,415,416 417 ,ASE calculator forces+stress simultaneously does not work
aiqm/torchani,https://github.com/aiqm/torchani/issues/23,23,26 ,Delete nn.py and create torchani.models to support rich types of models
aiqm/torchani,https://github.com/aiqm/torchani/issues/614,614,615 ,__floordiv__ is deprecated since PyTorch 1.9
aiqm/torchani,https://github.com/aiqm/torchani/issues/182,182,357 ,Fix dtype of arange in JIT and remove dtype of arange from TorchANI
labmlai/labml,https://github.com/labmlai/labml/issues/60,60,61 62 63 ,Labml is stuck
labmlai/labml,https://github.com/labmlai/labml/issues/66,66,100 ,Network error in comparison section
labmlai/labml,https://github.com/labmlai/labml/issues/91,91,99 ,Update the project to support the latest version of weya
labmlai/labml,https://github.com/labmlai/labml/issues/96,96,101 ,Feature request: Allow setting listen address on command line & infer URL from request
labmlai/labml,https://github.com/labmlai/labml/issues/14,14,15 ,Checkpointing optimizers
DeepLabCut/DeepLabCut,https://github.com/DeepLabCut/DeepLabCut/issues/1570,1570,1571 ,TypeError: analyze_videos() got an unexpected keyword argument 'video'
DeepLabCut/DeepLabCut,https://github.com/DeepLabCut/DeepLabCut/issues/1931,1931,1933 ,Google Colab No Longer Supports TensorFlow 1.x
DeepLabCut/DeepLabCut,https://github.com/DeepLabCut/DeepLabCut/issues/1032,1032,1057 ,Error message when extracting frames
DeepLabCut/DeepLabCut,https://github.com/DeepLabCut/DeepLabCut/issues/1321,1321,1328 ,Keypoints_only cannot draw skeleton in create_labeled_video
DeepLabCut/DeepLabCut,https://github.com/DeepLabCut/DeepLabCut/issues/1458,1458,1492 ,"cropping video problem and an error during ""refine tracklet"""
DeepLabCut/DeepLabCut,https://github.com/DeepLabCut/DeepLabCut/issues/1439,1439,1444 ,`plot_trajectories` is not name agnostic if n_tracks differs from config.yaml
DeepLabCut/DeepLabCut,https://github.com/DeepLabCut/DeepLabCut/issues/1593,1593,1690 ,plotting3D.py does not support Multimode
DeepLabCut/DeepLabCut,https://github.com/DeepLabCut/DeepLabCut/issues/1655,1655,1662 ,Error when refining tracklets
